TIMESTAMP;POSITION;SPEED;LOAD;POWER;TORQUEREF;SEQFREQ
2024-11-12 18:03:25.296284;249967378;187.1;5.0;0;5;51.282051282051285
2024-11-12 18:03:25.341811;249970364;-9.8;5.0;-1;5;51.282051282051285
2024-11-12 18:03:25.386258;249963336;-198.0;4.6;-4;5;51.282051282051285
2024-11-12 18:03:25.431312;249945812;-449.5;5.0;-14;5;51.282051282051285
2024-11-12 18:03:25.476399;249899291;-1356.5;6.1;-39;12;51.282051282051285
2024-11-12 18:03:25.521367;249809488;-2070.3;13.7;-94;20;51.282051282051285
2024-11-12 18:03:25.566267;249699806;-1958.8;20.1;-90;20;51.282051282051285
2024-11-12 18:03:25.611454;249624555;-1404.2;19.0;-53;15;51.282051282051285
2024-11-12 18:03:25.656237;249571762;-1029.8;14.1;-30;12;51.282051282051285
2024-11-12 18:03:25.701514;249532730;-699.9;11.0;-13;10;51.282051282051285
2024-11-12 18:03:25.746285;249507778;-362.7;9.7;-2;8;51.282051282051285
2024-11-12 18:03:25.791314;249501927;-36.3;7.9;1;8;51.282051282051285
2024-11-12 18:03:25.836266;249502965;53.0;7.9;3;8;51.282051282051285
2024-11-12 18:03:25.881325;249508760;193.1;7.7;7;8;51.282051282051285
2024-11-12 18:03:25.926406;249522907;286.1;7.7;9;9;51.282051282051285
2024-11-12 18:03:25.971336;249538654;364.5;9.0;13;10;51.282051282051285
2024-11-12 18:03:26.016268;249559882;509.2;10.1;22;11;51.282051282051285
2024-11-12 18:03:26.061560;249589760;699.3;11.2;31;13;51.282051282051285
2024-11-12 18:03:26.106288;249632978;908.2;14.1;47;16;51.282051282051285
2024-11-12 18:03:26.151460;249682884;1102.9;16.5;63;19;51.282051282051285
2024-11-12 18:03:26.196279;249739487;1247.2;19.0;78;20;51.282051282051285
2024-11-12 18:03:26.241314;249801112;1297.6;19.6;77;20;51.282051282051285
2024-11-12 18:03:26.286765;249865962;1199.6;19.0;61;17;51.282051282051285
2024-11-12 18:03:26.331622;249916485;972.4;15.9;31;9;51.282051282051285
2024-11-12 18:03:26.376763;249950467;501.4;7.9;9;5;51.282051282051285
2024-11-12 18:03:26.421327;249967731;213.7;4.8;1;5;51.282051282051285
2024-11-12 18:03:26.466281;249973317;44.9;4.8;0;5;51.282051282051285
2024-11-12 18:03:26.511474;249970204;-139.9;4.2;-3;5;51.282051282051285
2024-11-12 18:03:26.556272;249956126;-376.2;5.3;-9;5;51.282051282051285
2024-11-12 18:03:26.601462;249919134;-956.3;5.5;-33;9;51.282051282051285
2024-11-12 18:03:26.646792;249842929;-1820.5;9.0;-79;20;51.282051282051285
2024-11-12 18:03:26.691577;249743186;-2032.6;19.9;-98;20;51.282051282051285
2024-11-12 18:03:26.736816;249660846;-1526.5;19.4;-68;17;51.282051282051285
2024-11-12 18:03:26.781329;249599241;-1148.4;15.9;-35;14;51.282051282051285
2024-11-12 18:03:26.826767;249553834;-725.9;13.7;-14;11;51.282051282051285
2024-11-12 18:03:26.871519;249532804;-358.0;10.3;-3;10;51.282051282051285
2024-11-12 18:03:26.916292;249525188;-70.2;9.5;0;9;51.282051282051285
2024-11-12 18:03:26.961328;249524394;0.7;8.8;1;9;51.282051282051285
2024-11-12 18:03:27.006297;249524876;19.7;8.8;3;9;51.282051282051285
2024-11-12 18:03:27.051541;249529781;153.7;8.6;5;9;51.282051282051285
2024-11-12 18:03:27.096336;249537428;167.3;8.8;6;10;51.282051282051285
2024-11-12 18:03:27.141336;249546888;243.5;9.7;11;10;51.282051282051285
2024-11-12 18:03:27.186275;249564529;386.4;10.6;19;12;51.282051282051285
2024-11-12 18:03:27.231336;249589773;598.6;12.3;28;13;51.282051282051285
2024-11-12 18:03:27.276361;249623834;777.2;13.2;38;15;51.282051282051285
2024-11-12 18:03:27.321366;249666444;961.9;15.7;54;18;51.282051282051285
2024-11-12 18:03:27.366293;249721078;1107.0;18.3;69;20;51.282051282051285
2024-11-12 18:03:27.411576;249776379;1179.0;19.6;76;20;51.282051282051285
2024-11-12 18:03:27.456296;249835017;1229.3;19.9;75;20;51.282051282051285
2024-11-12 18:03:27.501444;249891587;1106.6;17.9;43;13;51.282051282051285
2024-11-12 18:03:27.546262;249937884;720.8;11.2;15;6;51.282051282051285
2024-11-12 18:03:27.591328;249963236;379.4;6.4;5;5;51.282051282051285
2024-11-12 18:03:27.636643;249976075;147.0;4.6;0;5;51.282051282051285
2024-11-12 18:03:27.681512;249977413;-15.4;4.8;-1;5;51.282051282051285
2024-11-12 18:03:27.726379;249970435;-173.9;4.4;-4;5;51.282051282051285
2024-11-12 18:03:27.771340;249952673;-455.3;5.0;-13;5;51.282051282051285
2024-11-12 18:03:27.816284;249905975;-1251.1;5.9;-48;11;51.282051282051285
2024-11-12 18:03:27.861340;249814920;-2167.5;11.7;-98;20;51.282051282051285
2024-11-12 18:03:27.906307;249694328;-2205.6;19.9;-103;20;51.282051282051285
2024-11-12 18:03:27.951419;249607806;-1609.3;18.3;-56;14;51.282051282051285
